58;4.50 x 60° ST;G45060S;STS 045 06;TBS;20.00;5.00;;;;;;;;;;;;
59;4.75 x 60° ST;G47560S;STS 047 56;TBS;20.00;5.00;;;;;;;;;;;;
60;5.00 x 60° ST;G50060S;STS 050 06;TBS;20.00;5.00;;;;;;;;;;;;
61;0.30 x 80° ST;G3080S;STS 003 08;TBS;20.00;5.00;;;;;;;;;;;;
62;0.32 x 80° ST;G3280S;STS 003 28;TBS;20.00;5.00;;;;;;;;;;;;
63;0.40 x 80° ST;G4080S;STS 004 08;TBS;20.00;5.00;;;;;;;;;;;;
64;0.45 x 80° ST;G4580S;STS 004 58;TBS;20.00;5.00;;;;;;;;;;;;
65;0.50 x 80° ST;G5080S;STS 005 08;TBS;20.00;5.00;;;;;;;;;;;;
66;0.60 x 80° ST;G6080S;STS 006 08;TBS;20.00;5.00;;;;;;;;;;;;
67;0.75 x 80° ST;G7580S;STS 007 58;TBS;20.00;5.00;;;;;;;;;;;;
68;0.85 x 80° ST;G8580S;STS 008 58;TBS;20.00;5.00;;;;;;;;;;;;
69;0.30 x 45° HT;G3045H;STH 003 04;TBS;20.00;5.00;;;;;;;;;;;;
70;0.32 x 45° HT;G3245H;STH 003 24;TBS;20.00;5.00;;;;;;;;;;;;
71;0.40 x 45° HT;G4045H;STH 004 04;TBS;20.00;5.00;;;;;;;;;;;;
72;0.45 x 45° HT;G4545H;STH 004 54;TBS;20.00;5.00;;;;;;;;;;;;
73;0.50 x 45° HT;G5045H;STH 005 04;TBS;20.00;5.00;;;;;;;;;;;;
74;0.60 x 45° HT;G6045H;STH 006 04;TBS;20.00;5.00;;;;;;;;;;;;
75;0.75 x 45° HT;G7545H;STH 007 54;TBS;20.00;5.00;;;;;;;;;;;;
76;0.85 x 45° HT;G8545H;STH 008 54;TBS;20.00;5.00;;;;;;;;;;;;
77;1.00 x 45° HT;G10045H;STH 010 04;TBS;20.00;5.00;;;;;;;;;;;;
78;1.10 x 45° HT;G11045H;STH 011 04;TBS;20.00;5.00;;;;;;;;;;;;
79;1.15 x 45° HT;G11545H;STH 011 54;TBS;20.00;5.00;;;;;;;;;;;;
80;1.20 x 45° HT;G12045H;STH 012 04;TBS;20.00;5.00;;;;;;;;;;;;
81;1.25 x 45° HT;G12545H;STH 012 54;TBS;20.00;5.00;;;;;;;;;;;;
